,Date,Tweet
14,2020-01-01 07:01:00,RT @khunpat: \u0e25\u0e32\u0e1b\u0e35\u0e40\u0e01\u0e48\u0e32\u0e19\u0e30\u0e04\u0e30 \u0e02\u0e2d\u0e1a\u0e04\u0e38\u0e13\u0e17\u0e38\u0e01\u0e04\u0e19\u0e17\u0e35\u0e48\u0e1c\u0e48\u0e32\u0e19\u0e21\u0e32\u0e40\u0e08\u0e2d\u0e01\u0e31\u0e19\u0e1a\u0e32\u0e07\u0e04\u0e19\u0e44\u0e14\u0e49\u0e23\u0e39\u0e49\u0e08\u0e31\u0e01\u0e01\u0e31\u0e19 \u0e40\u0e23\u0e32\u0e2a\u0e19\u0e38\u0e01\u0e21\u0e32\u0e01\u0e40\u0e25\u0e22\u0e04\u0e48\u0e30\u0e43\u0e19\u0e1b\u0e35\u0e19\u0e35\u0e49\u0e44\u0e14\u0e49\u0e23\u0e39\u0e49\u0e08\u0e31\u0e01\u0e17\u0e38\u0e01\u0e04\u0e19\u0e40\u0e1e\u0e34\u0e48\u0e21 \u0e44\u0e21\u0e48\u0e17\u0e34\u0e49\u0e07\u0e04\u0e27\u0e32\u0e21\u0e15\u0e31\u0e49\u0e07\u0e43\u0e08\u0e01\u0e48\u0e2d\u0e19\u0e40\u0e08\u0e2d\u2026
15,2020-01-01 07:01:00,while im here pa sa mindanao susulitin ko na to huhuhu
16,2020-01-01 07:01:00,@steelemperor \u5c0f\u5409\u3067\u3057\u305f
17,2020-01-01 07:01:00,@XiaomiMexico Me esperar\u00e9 al Redmi Note 9 a ver qu\u00e9 tal
18,2020-01-01 07:01:00,\u306a\u3093\u306e\u305f\u3081\u306b\u52aa\u529b\u3057\u3066\u304d\u305f\u2026\uff1f
19,2020-01-01 07:01:00,\u672b\u8def\u3055\u2026\uff7d\uff98\u2026\u2026
20,2020-01-01 07:01:00,RT @yingnoey4: #\u0e41\u0e1a\u0e01\u0e19\u0e21\u0e44\u0e1b\u0e22\u0e34\u0e21\u0e27\u0e31\u0e19\u0e17\u0e35\u0e486\nLine:@noey https:\/\/t.co\/y1peyu0266
21,2020-01-01 07:01:00,@D005__ \u0627\u0630\u0627 \u0633\u0648\u064a\u062a \u0634\u064a \u0648\u0627\u062d\u062f \u0639\u0644\u0645\u0646\u0628
22,2020-01-01 07:01:00,@Ume_Chan96 @hiroto_cos Its the casual way to greet (*\u01a1\u1d17\u01a1)
23,2020-01-01 07:01:00,"RT @7110_rutaa: 1\/1 CDTV \u30ad\u30f3\u30d7\u30ea\n\"" koi-wazurai \"" \u2461\n\u5cb8\u512a\u592a \u5e73\u91ce\u7d2b\u8000 \u795e\u5bae\u5bfa\u52c7\u592a\n\u6c38\u702c\u5ec9 \u9ad9\u6a4b\u6d77\u4eba https:\/\/t.co\/CtsBQ7oJIz"
24,2020-01-01 07:01:00,"RT @__mbahh: I woke up to this on top this 2020\ud83d\ude2d. @Twitter what did I do ? What a way to start a year . Please follow my back up account ,\u2026"
25,2020-01-01 07:01:00,RT @benriquedelkk: \u0e14\u0e39\u0e14\u0e27\u0e07\u0e01\u0e31\u0e1a\u0e41\u0e2d\u0e23\u0e4c\u0e40\u0e2d\u0e40\u0e0a\u0e35\u0e22 Travel 360 \u0e40\u0e14\u0e37\u0e2d\u0e19\u0e21\u0e01\u0e23\u0e32\u0e04\u0e21\u0e21\u0e32\u0e41\u0e25\u0e49\u0e27 https:\/\/t.co\/H5lo8Oyhz4
26,2020-01-01 07:01:00,WHAT THE FCUDOFHDK PARK JIMIN SKDJSKND https:\/\/t.co\/mCqikGLh9o
27,2020-01-01 07:01:00,RT @killerkingggg: No I\ufe0f flip my phone over to let you insecure fools know I\ufe0fm focused on you https:\/\/t.co\/6iVP8tQvBZ
28,2020-01-01 07:01:00,"RT @icedlatteeee: sad, we cant have this kind of interactions anymore. current generation cant relate lol https:\/\/t.co\/h0K0eR6SL8"
29,2020-01-01 07:01:00,Ya no tiren cuetes los perritooooos:(
